2025-05-18 15:56:37,953 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'k_most_recent', 'k': 1, 'score': 0, 'tokens_used': 2826.0, 'total_tokens': 3066.0, 'price_used': 0.0003294, 'price_total': 0.000375, 'num_used_reflexions': 1}
2025-05-18 15:57:40,935 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'k_most_recent', 'k': 1, 'score': 0, 'tokens_used': 2831.0, 'total_tokens': 3071.0, 'price_used': 0.0003314, 'price_total': 0.00037699999999999995, 'num_used_reflexions': 1}
From now on OpenAI
2025-05-19 17:13:15,756 - {'puzzle': '1 3 9 11', 'num_agents': 1, 'num_reflexions': 4, 'reflexion_type': 'k_most_recent', 'k': 1, 'score': 1, 'tokens_used': 1248.0, 'total_tokens': 5899.0, 'price_used': 0.00014370000000000002, 'price_total': 0.0011683000000000002, 'num_used_reflexions': 0}
2025-05-19 17:15:16,499 - {'puzzle': '1 11 13 13', 'num_agents': 1, 'num_reflexions': 4, 'reflexion_type': 'k_most_recent', 'k': 1, 'score': 1, 'tokens_used': 2354.0, 'total_tokens': 21906.0, 'price_used': 0.0003101, 'price_total': 0.004520399999999999, 'num_used_reflexions': 2}
2025-05-19 17:15:28,780 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 4, 'reflexion_type': 'k_most_recent', 'k': 1, 'score': 0, 'tokens_used': 3669.0, 'total_tokens': 25827.0, 'price_used': 0.0005268, 'price_total': 0.005106599999999999, 'num_used_reflexions': 5}
2025-05-19 17:15:29,199 - {'puzzle': '2 9 9 12', 'num_agents': 1, 'num_reflexions': 4, 'reflexion_type': 'k_most_recent', 'k': 1, 'score': 0, 'tokens_used': 2522.0, 'total_tokens': 28349.0, 'price_used': 0.0003122, 'price_total': 0.0054188, 'num_used_reflexions': 4}
2025-05-19 17:15:33,361 - {'puzzle': '2 10 11 12', 'num_agents': 1, 'num_reflexions': 4, 'reflexion_type': 'k_most_recent', 'k': 1, 'score': 0, 'tokens_used': 2645.0, 'total_tokens': 30994.0, 'price_used': 0.0003344, 'price_total': 0.0057532, 'num_used_reflexions': 4}
2025-05-19 17:15:36,670 - {'puzzle': '2 4 8 11', 'num_agents': 1, 'num_reflexions': 4, 'reflexion_type': 'k_most_recent', 'k': 1, 'score': 0, 'tokens_used': 2643.0, 'total_tokens': 33863.0, 'price_used': 0.0003324, 'price_total': 0.0061352, 'num_used_reflexions': 4}
2025-05-19 17:15:38,019 - {'puzzle': '2 5 8 9', 'num_agents': 1, 'num_reflexions': 4, 'reflexion_type': 'k_most_recent', 'k': 1, 'score': 0, 'tokens_used': 2472.0, 'total_tokens': 36335.0, 'price_used': 0.0003024, 'price_total': 0.0064376, 'num_used_reflexions': 4}
2025-05-19 17:15:39,215 - {'puzzle': '6 9 10 11', 'num_agents': 1, 'num_reflexions': 4, 'reflexion_type': 'k_most_recent', 'k': 1, 'score': 0, 'tokens_used': 2570.0, 'total_tokens': 38905.0, 'price_used': 0.0003188, 'price_total': 0.0067564, 'num_used_reflexions': 4}
