2025-05-18 15:56:19,846 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'list', 'score': 0, 'tokens_used': 7529.0, 'total_tokens': 7529.0, 'price_used': 0.0011252000000000002, 'price_total': 0.0011252000000000002, 'num_used_reflexions': 1}
2025-05-18 15:56:21,524 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'k_most_recent', 'score': 0, 'tokens_used': 1539.0, 'total_tokens': 7412.0, 'price_used': 0.000219, 'price_total': 0.0010784, 'num_used_reflexions': 1}
2025-05-18 15:56:23,348 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'summary_incremental', 'score': 0, 'tokens_used': 2819.0, 'total_tokens': 7396.0, 'price_used': 0.00032780000000000005, 'price_total': 0.0010279000000000002, 'num_used_reflexions': 1}
2025-05-18 15:56:25,505 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'summary_all_previous', 'score': 0, 'tokens_used': 1796.0, 'total_tokens': 7596.0, 'price_used': 0.0002774, 'price_total': 0.0011076000000000003, 'num_used_reflexions': 1}
2025-05-18 15:57:13,296 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'list', 'score': 0, 'tokens_used': 1400.0, 'total_tokens': 7273.0, 'price_used': 0.00016340000000000001, 'price_total': 0.0010228, 'num_used_reflexions': 1}
2025-05-18 15:57:15,171 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'k_most_recent', 'score': 0, 'tokens_used': 1618.0, 'total_tokens': 7491.0, 'price_used': 0.0002506, 'price_total': 0.0011099999999999999, 'num_used_reflexions': 1}
2025-05-18 15:57:17,620 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'summary_incremental', 'score': 0, 'tokens_used': 1868.0, 'total_tokens': 7668.0, 'price_used': 0.0003062, 'price_total': 0.0011364, 'num_used_reflexions': 1}
2025-05-18 15:57:22,591 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'summary_all_previous', 'score': 0, 'tokens_used': 2576.0, 'total_tokens': 8376.0, 'price_used': 0.0005891000000000001, 'price_total': 0.0014193, 'num_used_reflexions': 1}
From now on OpenAI2025-05-18 16:10:42,864 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'list', 'score': 0, 'tokens_used': 6181.0, 'total_tokens': 8238.0, 'price_used': 0.0010657, 'price_total': 0.0015509999999999999, 'num_used_reflexions': 1}
2025-05-18 16:10:45,195 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'k_most_recent', 'score': 0, 'tokens_used': 2399.0, 'total_tokens': 4664.0, 'price_used': 0.0002639, 'price_total': 0.000794, 'num_used_reflexions': 1}
2025-05-18 16:12:04,199 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'list', 'score': 0, 'tokens_used': 2395.0, 'total_tokens': 8105.0, 'price_used': 0.00026290000000000005, 'price_total': 0.0014978, 'num_used_reflexions': 1}
2025-05-18 16:12:06,056 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'k_most_recent', 'score': 0, 'tokens_used': 1279.0, 'total_tokens': 8105.0, 'price_used': 0.0001504, 'price_total': 0.0014978, 'num_used_reflexions': 1}
2025-05-18 16:12:14,877 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'summary_incremental', 'score': 0, 'tokens_used': 6107.0, 'total_tokens': 8372.0, 'price_used': 0.0010316000000000001, 'price_total': 0.0015617, 'num_used_reflexions': 1}
2025-05-18 16:18:35,878 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'list', 'score': 0, 'tokens_used': 2393.0, 'total_tokens': 8103.0, 'price_used': 0.00026210000000000003, 'price_total': 0.001497, 'num_used_reflexions': 1}
2025-05-18 16:18:37,722 - {'puzzle': '1 1 4 6', 'num_agents': 1, 'num_reflexions': 1, 'reflexion_type': 'k_most_recent', 'score': 0, 'tokens_used': 1275.0, 'total_tokens': 8238.0, 'price_used': 0.00014879999999999998, 'price_total': 0.001551, 'num_used_reflexions': 1}
